"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"80","1","file:/data/f232_qdb-TEI-02.xml","/data/f232_qdb-TEI-02.xml","f232_qdb-TEI-02.xml","Signature","Done","4882508","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"81","1","file:/data/f233_qdb-TEI-02.xml","/data/f233_qdb-TEI-02.xml","f233_qdb-TEI-02.xml","Signature","Done","6300834","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"82","1","file:/data/f237_qdb-TEI-02.xml","/data/f237_qdb-TEI-02.xml","f237_qdb-TEI-02.xml","Signature","Done","9418765","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"83","1","file:/data/f234_qdb-TEI-02.xml","/data/f234_qdb-TEI-02.xml","f234_qdb-TEI-02.xml","Signature","Done","7272099","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"84","1","file:/data/f236_qdb-TEI-02.xml","/data/f236_qdb-TEI-02.xml","f236_qdb-TEI-02.xml","Signature","Done","6484905","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"85","1","file:/data/f235_qdb-TEI-02.xml","/data/f235_qdb-TEI-02.xml","f235_qdb-TEI-02.xml","Signature","Done","9893241","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"86","1","file:/data/f238_qdb-TEI-02.xml","/data/f238_qdb-TEI-02.xml","f238_qdb-TEI-02.xml","Signature","Done","10361665","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"87","1","file:/data/f239_qdb-TEI-02.xml","/data/f239_qdb-TEI-02.xml","f239_qdb-TEI-02.xml","Signature","Done","6261990","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"88","1","file:/data/f241_qdb-TEI-02.xml","/data/f241_qdb-TEI-02.xml","f241_qdb-TEI-02.xml","Signature","Done","8156640","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"89","1","file:/data/f240_qdb-TEI-02.xml","/data/f240_qdb-TEI-02.xml","f240_qdb-TEI-02.xml","Signature","Done","4605780","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"90","1","file:/data/f242_qdb-TEI-02.xml","/data/f242_qdb-TEI-02.xml","f242_qdb-TEI-02.xml","Signature","Done","6224296","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"91","1","file:/data/f245_qdb-TEI-02.xml","/data/f245_qdb-TEI-02.xml","f245_qdb-TEI-02.xml","Signature","Done","7759388","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"92","1","file:/data/f243_qdb-TEI-02.xml","/data/f243_qdb-TEI-02.xml","f243_qdb-TEI-02.xml","Signature","Done","10803969","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"93","1","file:/data/f244_qdb-TEI-02.xml","/data/f244_qdb-TEI-02.xml","f244_qdb-TEI-02.xml","Signature","Done","6916441","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
